Unnamed: 0,stop_id,direction_id,branch_route_id,headway_trunk_seconds,headway_branch_seconds,stop_name
261,70505,1,Green-D,471.4782608695652,21238.25,Gilman Square
262,70505,1,Green-E,537.8754740834387,543.3845343447114,Gilman Square
263,70506,0,Green-B,372.44444444444446,10206.0,Gilman Square
264,70506,0,Green-C,336.0,28083.5,Gilman Square
265,70506,0,Green-D,287.4482758620689,21607.88888888889,Gilman Square
266,70506,0,Green-E,530.5250208507089,534.9937447873227,Gilman Square
267,70507,1,Green-B,515.1111111111111,,Magoun Square
268,70507,1,Green-C,388.82142857142856,3725.0,Magoun Square
269,70507,1,Green-D,501.3043478260869,21263.25,Magoun Square
270,70507,1,Green-E,535.2672395724167,541.0171907756813,Magoun Square
271,70508,0,Green-B,364.8888888888889,10193.0,Magoun Square
272,70508,0,Green-C,338.6896551724138,28086.5,Magoun Square
273,70508,0,Green-D,284.6896551724138,21606.0,Magoun Square
274,70508,0,Green-E,532.722478024278,537.193386354123,Magoun Square
275,70509,1,Green-B,512.0,,Ball Square
276,70509,1,Green-C,397.4642857142857,3731.0,Ball Square
277,70509,1,Green-D,521.4782608695652,21252.5,Ball Square
278,70509,1,Green-E,534.4796986186689,540.247593135203,Ball Square
279,70510,0,Green-B,357.77777777777777,10169.0,Ball Square
280,70510,0,Green-C,324.2068965517241,28092.0,Ball Square
281,70510,0,Green-D,275.4482758620689,21613.555555555555,Ball Square
282,70510,0,Green-E,533.7262253875157,538.0433598659405,Ball Square
283,70512,0,Green-B,394.5,,Medford/Tufts
284,70512,0,Green-C,362.36,11393.0,Medford/Tufts
285,70512,0,Green-D,412.5,24730.2,Medford/Tufts
286,70513,1,Green-B,502.1111111111111,,East Somerville
287,70513,1,Green-C,372.25,3652.0,East Somerville
288,70513,1,Green-D,429.1304347826087,26409.0,East Somerville
289,70513,1,Green-E,540.4113415150233,545.9113227513227,East Somerville
290,70514,0,Green-B,415.875,10188.0,East Somerville
291,70514,0,Green-C,357.5925925925926,28078.0,East Somerville
292,70514,0,Green-D,332.93333333333334,23752.090909090908,East Somerville
293,70514,0,Green-E,544.3846153846154,549.3029134532991,East Somerville
294,71150,1,Green-B,198.1982367085226,607.4094445935068,Kenmore
295,71150,1,Green-D,288.5,593.5,Kenmore
296,71151,0,Green-B,194.32441646997117,608.2959830866807,Kenmore
297,71151,0,Green-C,361.0,497.0,Kenmore
298,71151,0,Green-D,,,Kenmore
299,71199,1,Green-B,265.54545454545456,2236.7272727272725,Park Street
300,71199,1,Green-C,251.25,928.875,Park Street
301,71199,1,Green-D,86.0,1429.0,Park Street
302,71199,1,Green-E,280.5,445.0,Park Street
303,170136,1,Green-B,585.6482865240918,585.6482865240918,Babcock Street
304,170137,0,Green-B,603.2708333333334,603.2708333333334,Babcock Street
305,170140,1,Green-B,584.6951376382815,584.6951376382815,Amory Street
306,170141,0,Green-B,602.8571801566579,602.7723831897677,Amory Street
307,170136,1,Green-B,570.1075471698114,570.1639048400328,Babcock Street
308,170136,1,Green-E,705.0,,Babcock Street
309,170137,0,Green-B,610.7854738477473,610.826334642441,Babcock Street
310,170137,0,Green-D,440.0,,Babcock Street
311,170140,1,Green-B,566.1406160399771,566.1406160399771,Amory Street
312,170141,0,Green-B,580.9548918896529,580.9799933725458,Amory Street
313,170141,0,Green-C,606.0,,Amory Street
314,70063,0,Red-A,496.570774263904,878.553349334497,Davis
315,70063,0,Red-B,499.0211766960521,1010.775530052519,Davis
316,70064,1,Red-A,495.2443132108487,896.964989059081,Davis
317,70064,1,Red-B,530.8468848996832,1009.336580613736,Davis
318,70065,0,Red-A,497.0073374500545,878.1973693772255,Porter
319,70065,0,Red-B,497.9400956937799,1009.7203768453768,Porter
320,70066,1,Red-A,492.5419458199825,895.5818155325659,Porter
321,70066,1,Red-B,532.2795740189964,1010.6195482866044,Porter
322,70067,0,Red-A,502.91692664877024,882.0585758873485,Harvard
323,70067,0,Red-B,499.2243142502151,1009.94287099903,Harvard
324,70067,1,Red-A,,,Harvard
325,70067,1,Red-B,,,Harvard
